model,n_train_samples,n_test_samples,n_features,n_classes,train_time_seconds,train_pred_time_seconds,test_pred_time_seconds,inference_energy_per_sample_joules,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_min,cv_accuracy_max,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_precision_macro,test_recall_macro,test_f1_macro,test_cohen_kappa,test_matthews_corrcoef,test_roc_auc_ovr,test_roc_auc_ovo,test_precision_low,test_precision_medium,test_precision_high,test_recall_low,test_recall_medium,test_recall_high,test_f1_low,test_f1_medium,test_f1_high,test_support_low,test_support_medium,test_support_high,test_class_accuracy_low,test_class_accuracy_medium,test_class_accuracy_high,test_roc_auc_low,test_roc_auc_medium,test_roc_auc_high,train_test_acc_gap,train_cv_acc_gap,cv_test_acc_gap,overfitting_status,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22
XGBoost,6686,1672,33,3,0.8610732555389404,0.021021127700805664,0.011759757995605469,0.021826,0.9467544122046067,0.9468755118689786,0.9471861723423538,0.9467544122046067,0.9465923228454977,0.7937472399332329,0.006935790731892731,0.7845923709798055,0.8032909498878086,0.7924591261840426,0.007265919049191629,0.7933040274423621,0.007850574318629268,0.7937472399332329,0.006935790731892731,0.805622009569378,0.8065813499977841,0.804483916932037,0.805622009569378,0.8047705851742838,0.8054821425643616,0.8065813499977841,0.805745405608192,0.7083498149143057,0.708585269378614,0.9350411762329188,0.9356403811751339,0.8126195028680688,0.8687392055267703,0.7350877192982456,0.7798165137614679,0.9112318840579711,0.7286956521739131,0.795880149812734,0.8894783377541998,0.7318777292576419,545,552,575,0.7798165137614679,0.9112318840579711,0.7286956521739131,0.9350813640174858,0.9770679671325052,0.8946573659387261,0.14113240263522864,0.15300717227137373,-0.011874769636145088,Moderate Overfitting,425,13,107,5,503,44,93,63,419
Gradient Boosting,6686,1672,33,3,3.675461769104004,0.0770261287689209,0.02171492576599121,0.014953600000000001,0.9117559078671852,0.9119698366911938,0.9126247683378365,0.9117559078671852,0.9112591084819941,0.7944961892911087,0.008381792708578244,0.7823485415108452,0.8085265519820494,0.7928125214391514,0.008794267905381051,0.7937096346111503,0.008681970994060562,0.7944961892911087,0.008381792708578244,0.7882775119617225,0.7892013473385631,0.7875135779344253,0.7882775119617225,0.7876344926139582,0.7886187348933186,0.7892013473385631,0.7886446844165986,0.682294610493025,0.6825067880496577,0.9316870114100767,0.9322990429429177,0.7961538461538461,0.8591304347826086,0.7105719237435009,0.7596330275229358,0.894927536231884,0.7130434782608696,0.7774647887323943,0.8766637089618456,0.7118055555555556,545,552,575,0.7596330275229358,0.894927536231884,0.7130434782608696,0.9304233859479172,0.9763837668219462,0.8899758233918592,0.12347839590546272,0.11725971857607653,0.006218677329386191,Moderate Overfitting,414,15,116,7,494,51,99,66,410
Random Forest,6686,1672,33,3,1.0286974906921387,0.08883428573608398,0.0773613452911377,0.3731192,0.8963505833084057,0.8966206808894448,0.8979280426711499,0.8963505833084057,0.8956343554744146,0.7802878407250018,0.007080299893692753,0.7718773373223635,0.7898279730740464,0.7772586665994381,0.007268667351752008,0.7801467286027719,0.006508928402022253,0.7802878407250018,0.007080299893692753,0.7918660287081339,0.793098878695209,0.7893733475814749,0.7918660287081339,0.7893088228078271,0.7902402438248025,0.793098878695209,0.7903504038268201,0.6877972562284302,0.688933878551937,0.9303890520807663,0.9310034557743899,0.8046875,0.8344155844155844,0.7316176470588235,0.7559633027522936,0.9311594202898551,0.6921739130434783,0.7795648060548723,0.8801369863013698,0.711349419124218,545,552,575,0.7559633027522936,0.9311594202898551,0.6921739130434783,0.9304689725910307,0.9729142404244306,0.8894891205263367,0.10448455460027173,0.11606274258340388,-0.011578187983132149,Moderate Overfitting,412,21,112,4,514,34,96,81,398
K-NN,6686,1672,33,3,0.006778717041015625,0.30466580390930176,0.03673577308654785,0.0266114,0.9636553993419085,0.9638214329778703,0.9635711481502384,0.9636553993419085,0.9635492537063279,0.7711647230206617,0.005550132886341286,0.7638266068759342,0.7808526551982049,0.768156548710764,0.006141915670566645,0.7715900906153913,0.004991133630478207,0.7711647230206617,0.005550132886341286,0.7828947368421053,0.7840056730044763,0.7802235465150004,0.7828947368421053,0.7796182235413264,0.7811241781051663,0.7840056730044763,0.780604210076247,0.6743086109112217,0.6759633503437944,0.9177735817711541,0.9184238569803593,0.7963709677419355,0.8267090620031796,0.720292504570384,0.7247706422018348,0.9420289855072463,0.6852173913043478,0.7588856868395774,0.8806096528365792,0.7023172905525846,545,552,575,0.7247706422018348,0.9420289855072463,0.6852173913043478,0.914985794876387,0.9678530991200829,0.8723395822599184,0.18076066249980316,0.19249067632124672,-0.011730013821443563,Significant Overfitting,395,22,128,7,520,25,94,87,394
Extra Trees,6686,1672,33,3,0.45375967025756836,0.06790375709533691,0.06813597679138184,0.3154778,0.8137900089739755,0.8144940288156973,0.8162006190854709,0.8137900089739755,0.8105933227641484,0.7656287138619916,0.003770570786189845,0.7606581899775617,0.7720478325859492,0.7605905104134614,0.004147875704325618,0.7654927578621628,0.005168161078526714,0.7656287138619916,0.003770570786189845,0.7691387559808612,0.7702428755041439,0.7676384805164117,0.7691387559808612,0.7645091624957627,0.768613299171879,0.7702428755041439,0.7655027665106648,0.6536643400249103,0.6569617588447398,0.9194729101165118,0.920146398397883,0.8021276595744681,0.7957639939485628,0.7079482439926063,0.691743119266055,0.9528985507246377,0.6660869565217391,0.7428571428571429,0.8672712283594394,0.6863799283154122,545,552,575,0.691743119266055,0.9528985507246377,0.6660869565217391,0.9156809911838688,0.9697633605072464,0.8747881574253895,0.04465125299311423,0.04816129511198386,-0.0035100421188696274,Excellent - No Overfitting,377,33,135,3,526,23,90,102,383
SVM,6686,1672,33,3,5.0515875816345215,1.0247352123260498,0.25565433502197266,0.0222534,0.8004786120251272,0.8012031845961739,0.7999929764113239,0.8004786120251272,0.7973982712104462,0.7716147187163551,0.009115644081132003,0.7556053811659192,0.7816005983545251,0.7678935191579185,0.009471453659548082,0.7701197774054014,0.00912086629164982,0.7716147187163551,0.009115644081132003,0.7805023923444976,0.7814461729379958,0.7797043512329616,0.7805023923444976,0.7778430862592435,0.7808467175774667,0.7814461729379958,0.7788523498261387,0.6706348886852802,0.6724962552773366,0.9161153928089305,0.9168413002007457,0.8166666666666667,0.8171701112877583,0.7087033747779752,0.7192660550458716,0.9311594202898551,0.6939130434782609,0.7648780487804878,0.8704487722269263,0.7012302284710018,545,552,575,0.7192660550458716,0.9311594202898551,0.6939130434782609,0.9154270084579506,0.9672788884575569,0.8676509056319608,0.01997621968062957,0.028863893308772037,-0.008887673628142467,Excellent - No Overfitting,392,22,131,5,514,33,83,93,399
Decision Tree,6686,1672,33,3,0.05477786064147949,0.003724813461303711,0.002602815628051758,0.0136962,0.7888124439126533,0.7899755712191895,0.7853854849092854,0.7888124439126533,0.7856078756316391,0.7369131748677684,0.009977078804684795,0.7202692595362753,0.7479431563201197,0.7338550596701852,0.009429729602032004,0.7334115449261103,0.009652628609292039,0.7369131748677684,0.009977078804684795,0.7488038277511961,0.750853388290564,0.7441140039392058,0.7488038277511961,0.7446353236948882,0.7447988424211509,0.750853388290564,0.7460267754281423,0.6234712769773469,0.6250105092563807,0.8939723387869888,0.8948536522477892,0.7303571428571428,0.8134206219312602,0.6906187624750499,0.7504587155963303,0.9003623188405797,0.6017391304347826,0.7402714932126697,0.8546861564918314,0.6431226765799256,545,552,575,0.7504587155963303,0.9003623188405797,0.6017391304347826,0.8939622119290476,0.956242721273292,0.8342023701002734,0.04000861616145712,0.051899269044884844,-0.011890652883427721,Excellent - No Overfitting,409,20,116,16,497,39,135,94,346
Logistic Regression,6686,1672,33,3,0.2690153121948242,0.006436347961425781,0.0024929046630859375,0.0166138,0.7324259647023631,0.7335367646902409,0.7275190944080174,0.7324259647023631,0.7280980871682244,0.7265927891124521,0.003304298894341168,0.7217651458489155,0.7307404637247569,0.7220368154096182,0.0029135935495367467,0.7219829389221734,0.0027989759386389005,0.7265927891124521,0.003304298894341168,0.7350478468899522,0.7367007933342197,0.7291577828490183,0.7350478468899522,0.7305844678672133,0.7301380307118194,0.7367007933342197,0.7319008638815555,0.6026628758415363,0.6039007918951061,0.8878295991990482,0.8886628783107458,0.7183908045977011,0.8167202572347267,0.6553030303030303,0.6880733944954128,0.9202898550724637,0.6017391304347826,0.7029053420805998,0.8654173764906303,0.6273798730734361,545,552,575,0.6880733944954128,0.9202898550724637,0.6017391304347826,0.8725430020432585,0.9640891886645961,0.829109428877175,-0.002621882187589075,0.005833175589911033,-0.008455057777500108,Excellent - No Overfitting,375,30,140,2,508,42,145,84,346
Ridge Classifier,6686,1672,33,3,0.05723714828491211,0.007302999496459961,0.002609729766845703,0.0160034,0.7104397247980856,0.7121686279890489,0.7033710585219161,0.7104397247980856,0.6991271322844861,0.706251418464693,0.006426021753383674,0.6955871353777113,0.712789827973074,0.6947689163605923,0.0065908401415960315,0.6993015600012316,0.006453489479735256,0.706251418464693,0.006426021753383674,0.7123205741626795,0.714892744759119,0.7075101268554254,0.7123205741626795,0.7003123876447702,0.7077518327558248,0.714892744759119,0.7018011423167567,0.5691012566397665,0.5771182078139414,,,0.6994219653179191,0.7361878453038674,0.6876456876456877,0.6660550458715596,0.9655797101449275,0.5130434782608696,0.6823308270676691,0.835423197492163,0.5876494023904383,545,552,575,0.6660550458715596,0.9655797101449275,0.5130434782608696,,,,-0.0018808493645938729,0.004188306333392622,-0.006069155697986495,Excellent - No Overfitting,363,66,116,1,533,18,155,125,295
SGD Classifier,6686,1672,33,3,0.05085253715515137,0.004130125045776367,0.002506256103515625,0.021814,0.7234519892312294,0.7248333301424618,0.7165523288788126,0.7234519892312294,0.715588141746579,0.7137300674266842,0.005087355291088539,0.7068062827225131,0.7225130890052356,0.7064253452515509,0.004821594753360971,0.705651358782075,0.005198082479521912,0.7137300674266842,0.005087355291088539,0.729066985645933,0.731019367991845,0.7224271991036542,0.729066985645933,0.7209665075848228,0.7230707552629886,0.731019367991845,0.7222755166347778,0.5938827400057265,0.5979269486916574,0.8833915452270842,0.8841972785212568,0.718503937007874,0.775811209439528,0.6748971193415638,0.6697247706422018,0.9528985507246377,0.5704347826086956,0.6932573599240266,0.8552845528455284,0.6182846371347785,545,552,575,0.6697247706422018,0.9528985507246377,0.5704347826086956,0.8634517229308956,0.9639986089544514,0.8249082477904165,-0.0056149964147035325,0.00972192180454523,-0.015336918219248763,Excellent - No Overfitting,365,47,133,1,526,25,142,105,328
Gaussian NB,6686,1672,33,3,0.008418560028076172,0.02743816375732422,0.004440784454345703,0.0216674,0.6558480406820222,0.655563231374351,0.6613226753930369,0.6558480406820222,0.6430892712306392,0.6537538585034652,0.0027065446220284244,0.649962602842184,0.6574420344053852,0.6410187303486878,0.00238743935876301,0.66050113599535,0.0037213534112890095,0.6537538585034652,0.0027065446220284244,0.6776315789473685,0.676863892212915,0.6804683150332351,0.6776315789473685,0.6691712188685431,0.6818579200333469,0.676863892212915,0.669331801171085,0.5155069203082622,0.5221691330579769,0.832955671772601,0.8339098368467811,0.7038043478260869,0.7542503863987635,0.5875190258751902,0.47522935779816516,0.8840579710144928,0.671304347826087,0.5673603504928806,0.8140116763969975,0.6266233766233766,545,552,575,0.47522935779816516,0.8840579710144928,0.671304347826087,0.7985607645531287,0.9410495923913044,0.7617858982997107,-0.02178353826534629,0.002094182178556947,-0.02387772044390324,Excellent - No Overfitting,259,52,234,27,488,37,82,107,386
LDA,6686,1672,33,3,0.03387784957885742,0.00630497932434082,0.0026273727416992188,0.0167602,0.717319772659288,0.7187273315166638,0.7104983401029524,0.717319772659288,0.7092087120360231,0.7126835060087003,0.005447647414565686,0.7075542258788332,0.7232610321615557,0.7041618403225072,0.005026357175093653,0.7058078450594503,0.004832575864701629,0.7126835060087003,0.005447647414565686,0.7165071770334929,0.7184288436821346,0.7099605748874721,0.7165071770334929,0.708419065024261,0.7106086758781652,0.7184288436821346,0.7097131966452151,0.5750529221385048,0.5790727329891986,0.88080763034573,0.881637268320155,0.7075098814229249,0.7617647058823529,0.6625514403292181,0.6568807339449542,0.9384057971014492,0.56,0.681255946717412,0.8409090909090909,0.6069745523091423,545,552,575,0.6568807339449542,0.9384057971014492,0.56,0.8618757275546838,0.9595990230331263,0.8231120447069081,0.000812595625795165,0.004636266650587695,-0.00382367102479253,Excellent - No Overfitting,358,55,132,2,518,32,146,107,322
QDA,6686,1672,33,3,0.0628819465637207,0.023934125900268555,0.003998994827270508,0.0521482,0.7129823511815734,0.7122559780978577,0.7498514560340571,0.7129823511815734,0.699257324061897,0.7096932985858396,0.01009695287452889,0.7002989536621823,0.7284966342557966,0.6962384728342028,0.010969472204444532,0.7429065159300816,0.008507492819502827,0.7096932985858396,0.01009695287452889,0.7200956937799043,0.7186340468909277,0.7451981830333685,0.7200956937799043,0.7114882647335997,0.7476549098906418,0.7186340468909277,0.7116854027076815,0.57890023786204,0.5926720648000804,0.8944946665890249,0.8953139720544834,0.8511326860841424,0.7912772585669782,0.6005547850208044,0.48256880733944957,0.9202898550724637,0.7530434782608696,0.6159250585480094,0.8509212730318257,0.6682098765432098,545,552,575,0.48256880733944957,0.9202898550724637,0.7530434782608696,0.8883941290916049,0.9617163237577641,0.8357441242915462,-0.007113342598330963,0.0032890525957337546,-0.010402395194064717,Excellent - No Overfitting,263,32,250,6,508,38,40,102,433
